INVENTARIO,PRODUCTO,PESO,$ PUBLICO,$ PROV,PUNTO DE VENTA,,,,
6,PIERNA Y MUSLO,0.905,, $ 208.15 ,RENACER,,,,
7,PIERNA Y MUSLO,0.680,, $ 156.40 ,RENACER,,,,
8,PIERNA Y MUSLO,0.800, $ 224.00 ,,PAG WEB,,,,
9,PIERNA Y MUSLO,0.915, $ 256.20 ,,PAG WEB,,,,
10,PIERNA Y MUSLO,0.745, $ 208.60 ,,PAG WEB,,,,
11,PIERNA Y MUSLO,0.825, $ 231.00 ,,PAG WEB,,,,
12,PIERNA Y MUSLO,0.835, $ 233.80 ,,PAG WEB,,,,
13,PIERNA Y MUSLO,0.740, $ 207.20 ,,PAG WEB,,,,
14,PIERNA Y MUSLO,0.795, $ 222.60 ,,PAG WEB,,,,
15,PIERNA Y MUSLO,0.820, $ 229.60 ,,PAG WEB,,,,
16,PIERNA Y MUSLO,0.795, $ 222.60 ,,PAG WEB,,,,
17,PIERNA Y MUSLO,0.87, $ 243.60 ,,PAG WEB,,,,
18,PIERNA Y MUSLO,0.920, $ 257.60 ,,PAG WEB,,,,
21,PIERNA Y MUSLO,0.825, $ 231.00 ,,PAG WEB,,,,
22,PIERNA Y MUSLO,0.8, $ 232.40 ,,PAG WEB,,,,
23,PIERNA Y MUSLO,0.785, $ 219.80 ,,PAG WEB,,,,
24,PIERNA Y MUSLO,0.800, $ 224.00 ,,PAG WEB,,,,
25,PIERNA Y MUSLO,0.815, $ 228.20 ,,PAG WEB,,,,
26,PIERNA Y MUSLO,0.860, $ 240.80 ,,PAG WEB,,,,
27,PIERNA Y MUSLO,0.850, $ 238.00 ,,PAG WEB,,,,
28,PIERNA Y MUSLO,0.835, $ 233.80 ,,PAG WEB,,,,
29,PIERNA Y MUSLO,0.720, $ 201.60 ,,PAG WEB,,,,
31,PIERNA Y MUSLO,0.780, $ 218.40 ,,PAG WEB,,,,
32,PIERNA Y MUSLO,0.770, $ 215.60 ,,PAG WEB,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,PUNTO DE VENTA,,,,
15,MOLIDA DE POLLO,0.5,,"$160,00",RENACER,,,,
16,MOLIDA DE POLLO,0.5,," $160,00 ",RENACER,,,,
24,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
25,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
26,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
27,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
28,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
29,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
30,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
31,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
32,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
33,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
34,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
35,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
36,MOLIDA DE POLLO,0.5," $180,00 ",,PAG WEB,,,,
43,MOLIDA DE POLLO,0.5," $180,00 ",,FAM HOCH,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
